Brewery,City,Name,Abv,Ibu,Srm,Tags
Brauhaus am WaldschlÃ¶sschen,Dresden,WaldschlÃ¶sschen Dunkel,5%,?,?,german_lager|german_style_schwarzbier
Gasthaus & Gosebrauerei Bayerischer Bahnhof,Leipzig,Gose,4.6%,?,?,?
Radeberger Exportbierbrauerei,Radeberg,Pilsener,4.8%,?,?,german_lager|german_style_pilsener
WernesgrÃ¼ner Brauerei,Steinberg/Sachsen,Pils Legende,4.9%,?,?,german_lager|german_style_pilsener
