Brewery,City,Name,Abv,Ibu,Srm,Tags
K̦stritzer Schwarzbierbrauerei,Bad K̦stritz,Maibock,?,?,?,german_lager|traditional_german_style_bock
K̦stritzer Schwarzbierbrauerei,Bad K̦stritz,Oktoberfest,?,?,?,german_lager|german_style_oktoberfest
K̦stritzer Schwarzbierbrauerei,Bad K̦stritz,Schwarzbier,4.8%,?,?,german_lager|german_style_schwarzbier
