Brewery,City,Name,Abv,Ibu,Srm,Tags
Binding Brauerei AG,Frankfurt am Main,Lager,4.5%,?,?,?
Htt-Brauerei Bettenhuser,Baunatal,Luxus Pils,4.9%,?,?,?
Licher Privatbrauerei,Lich,Export Premium,5.4%,?,?,?
Martini-Brauerei,Kassel,Kasseler Premium Pils,?,?,?,?
Martini-Brauerei,Kassel,Meister Pilsener,5.1%,?,?,?
Martini-Brauerei,Kassel,Weissbier Dunkel,?,?,?,?
Martini-Brauerei,Kassel,Weissbier Hell,5.2%,?,?,german_ale|south_german_style_hefeweizen
Privat-Brauerei Schmucker Ober-Mossau KG,Mossautal,Schwarz Bier,4.8%,?,?,german_lager|german_style_schwarzbier
Sch̦fferhofer,Frankfurt/Main,Sch̦fferhofer Hefeweizen Hell,5%,?,?,german_ale|south_german_style_hefeweizen
Sch̦fferhofer,Frankfurt/Main,Sch̦fferhofer Hefeweizen alkoholfrei,?,?,?,german_ale|south_german_style_hefeweizen
