Name,Address,City,State,Code,Website,Tags
Brauerei Herrenhausen,Herrenhuser Strae 83-99,Hannover,NI,,?,?
Einbecker Brauhaus AG,Papenstrae 4-7,Einbeck,NI,,?,?
Friesisches Brauhaus zu Jever,Elisabethufer 18,Jever,NI,,?,?
Gilde Brauerei,Hildesheimer Strae 132,Hannover,NI,,?,?
