Brewery,City,Name,Abv,Ibu,Srm,Tags
Brauerei Herrenhausen,Hannover,Premium Pilsener,4.9%,?,?,?
Brauerei Herrenhausen,Hannover,Weizen Bier,?,?,?,german_ale|south_german_style_hefeweizen
Einbecker Brauhaus AG,Einbeck,Schwarzbier / Dunkel,4.9%,?,?,german_lager|german_style_schwarzbier
Einbecker Brauhaus AG,Einbeck,Ur-Bock Hell,6.5%,?,?,german_lager|traditional_german_style_bock
Friesisches Brauhaus zu Jever,Jever,Pilsener,5%,?,?,?
Gilde Brauerei,Hannover,Lindener Spezial,5.1%,?,?,?
Gilde Brauerei,Hannover,Pilsener,4.9%,?,?,?
Gilde Brauerei,Hannover,Ratskeller,4.9%,?,?,?
