Brewery,City,Name,Abv,Ibu,Srm,Tags
Flensburger Brauerei,Flensburg,Flensburger Pilsner,4.8%,?,?,german_lager|german_style_pilsener
Flensburger Brauerei,Flensburg,Pilsener,4.8%,?,?,?
