Brewery,City,Name,Abv,Ibu,Srm,Tags
Bitburger Brauerei,Bitburg,Premium Beer,4.8%,?,?,german_lager|german_style_pilsener
Knigsbacher Brauerei,Koblenz,Pils,?,?,?,?
