Brewery,City,Name,Abv,Ibu,Srm,Tags
Klosterbrauerei Neuzelle,Neuzelle,Black Abbot / Schwarzer Abt,3.9%,?,?,german_lager|german_style_schwarzbier
Klosterbrauerei Neuzelle,Neuzelle,Golden Abbot Lager,?,?,?,?
Klosterbrauerei Neuzelle,Neuzelle,Original Badebier / Original Bathbeer Monastery Fun,?,?,?,german_lager|german_style_schwarzbier
Klosterbrauerei Neuzelle,Neuzelle,Porter,7.1%,?,?,irish_ale|porter
